,d_game_date,c_prop_cd,c_game_report_desc,c_game_report_type,c_table_num,Drop,f_hands_played,i_minutes_played,f_theo_win,f_actual_win,i_open_hours,actul win over minutes played
553,2020-10-08,ABC,Craps,Craps,406,442,350,480,92.82,976,6,2.033333333333333
554,2020-11-06,ABC,Craps,Craps,402,3360,1020,656,705.6,-3780,16,-5.762195121951219
555,2020-11-06,ABC,Craps,Craps,405,3749,882,2800,787.29,3474,16,1.2407142857142857
556,2020-10-03,ABC,Craps,Craps,404,3312,810,693,695.52,15637,21,22.564213564213564
557,2020-11-03,ABC,Craps,Craps,406,3104,690,200,651.84,-18700,5,-93.5
558,2020-10-10,ABC,Craps,Craps,402,2376,1122,1152,498.96,-16093,16,-13.969618055555555
559,2020-10-01,ABC,Craps,Craps,406,1070,71,2200,224.7,2814,20,1.279090909090909
560,2020-11-07,ABC,Craps,Craps,401,3542,784,2520,743.8199999999999,-14041,18,-5.571825396825397
561,2020-10-16,ABC,Craps,Craps,401,4180,954,3280,877.8,-16020,20,-4.884146341463414
562,2020-10-04,ABC,Craps,Craps,405,5016,1008,612,1053.36,12880,17,21.045751633986928
563,2020-10-22,ABC,Craps,Craps,404,2592,1400,2250,544.3199999999999,-8755,15,-3.891111111111111
564,2020-11-03,ABC,Craps,Craps,405,3675,52,78,771.75,2839,1,36.3974358974359
565,2020-10-11,ABC,Craps,Craps,401,5784,1496,1980,1214.6399999999999,14110,18,7.126262626262626
566,2020-10-04,ABC,Craps,Craps,407,3634,1344,2664,763.14,-10260,24,-3.8513513513513513
567,2020-10-03,ABC,Craps,Craps,401,5240,1104,3780,1100.3999999999999,2668,18,0.7058201058201058
568,2020-10-19,ABC,Craps,Craps,111,1380,400,0,289.8,-30,0,-inf
569,2020-10-02,ABC,Craps,Craps,401,3696,1071,1254,776.16,-18700,19,-14.912280701754385
570,2020-10-05,ABC,Craps,Craps,403,4338,183,371,910.98,-537,7,-1.4474393530997305
571,2020-11-12,ABC,Craps,Craps,403,4576,98,1430,960.9599999999999,2000,13,1.3986013986013985
572,2020-11-08,ABC,Craps,Craps,405,2730,1360,408,573.3,9720,17,23.823529411764707
573,2020-10-27,ABC,Craps,Craps,403,2570,1127,900,539.6999999999999,5190,10,5.766666666666667
574,2020-10-11,ABC,Craps,Craps,402,3828,1752,912,803.88,-7497,24,-8.220394736842104
575,2020-10-28,ABC,Craps,Craps,402,5901,1210,4070,1239.21,7888,22,1.9380835380835382
576,2020-11-07,ABC,Craps,Craps,404,3880,1092,1232,814.8,-10476,22,-8.503246753246753
577,2020-10-23,ABC,Craps,Craps,402,5073,1656,920,1065.33,18430,23,20.032608695652176
578,2020-11-20,ABC,Craps,Craps,111,2250,1330,2448,472.5,-7458,17,-3.0465686274509802
579,2020-11-12,ABC,Craps,Craps,407,3150,470,135,661.5,-13041,1,-96.6
580,2020-11-10,ABC,Craps,Craps,405,4503,1500,3240,945.63,2926,20,0.9030864197530865
581,2020-10-17,ABC,Craps,Craps,402,4914,1344,744,1031.94,-12971,24,-17.434139784946236
582,2020-11-15,ABC,Craps,Craps,404,5290,1679,3648,1110.8999999999999,-9367,24,-2.5677083333333335
583,2020-11-04,ABC,Craps,Craps,406,394,871,360,82.74,3520,3,9.777777777777779
584,2020-10-25,ABC,Craps,Craps,405,3980,1278,3630,835.8,-12915,22,-3.5578512396694215
585,2020-11-05,ABC,Craps,Craps,404,182,888,4750,38.22,56,19,0.011789473684210527
586,2020-10-24,ABC,Craps,Craps,401,5922,1679,1122,1243.62,-11288,17,-10.06060606060606
587,2020-10-04,ABC,Craps,Craps,402,5712,950,2295,1199.52,-5720,17,-2.4923747276688455
588,2020-10-05,ABC,Craps,Craps,406,1040,567,1890,218.4,-6069,18,-3.2111111111111112
589,2020-11-05,ABC,Craps,Craps,407,1984,400,1276,416.64,10521,22,8.245297805642632
590,2020-10-09,ABC,Craps,Craps,404,4370,1034,480,917.6999999999999,6400,24,13.333333333333334
591,2020-10-29,ABC,Craps,Craps,406,1124,1533,1890,236.04,843,21,0.44603174603174606
592,2020-10-05,ABC,Craps,Craps,404,0,804,891,1161.0,-6200,9,-6.958473625140292
593,2020-11-11,ABC,Craps,Craps,406,2240,1235,954,470.4,-7500,6,-7.861635220125786
594,2020-10-28,ABC,Craps,Craps,403,2323,1344,3744,487.83,9246,24,2.469551282051282
595,2020-10-03,ABC,Craps,Craps,402,5796,1071,828,1217.1599999999999,4840,18,5.845410628019324
596,2020-10-10,ABC,Craps,Craps,401,2166,1365,4370,454.85999999999996,19040,23,4.356979405034325
597,2020-10-17,ABC,Craps,Craps,403,2992,1656,1104,628.3199999999999,2700,16,2.4456521739130435
598,2020-11-14,ABC,Craps,Craps,403,3129,1536,1026,657.09,4716,19,4.5964912280701755
599,2020-10-25,ABC,Craps,Craps,402,3542,950,2550,743.8199999999999,-8786,17,-3.445490196078431
600,2020-11-09,ABC,Craps,Craps,404,576,94,529,120.96,-12870,23,-24.328922495274103
601,2020-10-13,ABC,Craps,Craps,407,6888,1407,2112,1446.48,-3743,24,-1.7722537878787878
602,2020-10-09,ABC,Craps,Craps,402,5522,900,1216,1159.62,-9177,19,-7.546875
603,2020-10-25,ABC,Craps,Craps,404,6049,931,4608,1270.29,-8960,24,-1.9444444444444444
604,2020-10-24,ABC,Craps,Craps,404,4224,1288,1680,887.04,16758,20,9.975
605,2020-11-08,ABC,Craps,Craps,402,3776,1281,3772,792.9599999999999,-12320,23,-3.2661717921527043
606,2020-10-24,ABC,Craps,Craps,405,5184,987,2300,1088.6399999999999,-15300,23,-6.6521739130434785
607,2020-10-28,ABC,Craps,Craps,407,1407,882,2112,295.46999999999997,3162,16,1.4971590909090908
608,2020-10-20,ABC,Craps,Craps,404,2212,730,3174,464.52,4301,23,1.355072463768116
609,2020-10-07,ABC,Craps,Craps,402,805,144,0,169.04999999999998,2296,0,inf
610,2020-10-22,ABC,Craps,Craps,405,3094,960,0,649.74,12186,0,inf
611,2020-10-30,ABC,Craps,Craps,402,5229,1440,2340,1098.09,-3240,20,-1.3846153846153846
612,2020-10-08,ABC,Craps,Craps,403,4560,637,765,957.5999999999999,2868,17,3.7490196078431373
613,2020-10-23,ABC,Craps,Craps,404,4731,1633,2016,993.51,16776,18,8.321428571428571
614,2020-10-07,ABC,Craps,Craps,405,4536,912,0,952.56,864,0,inf
615,2020-10-06,ABC,Craps,Craps,403,3536,1200,150,742.56,-1116,5,-7.44
616,2020-11-06,ABC,Craps,Craps,401,5566,1155,3335,1168.86,11403,23,3.419190404797601
617,2020-11-09,ABC,Craps,Craps,402,242,1633,1890,50.82,936,9,0.49523809523809526
618,2020-10-04,ABC,Craps,Craps,403,3570,1242,2860,749.6999999999999,11392,22,3.983216783216783
619,2020-11-17,ABC,Craps,Craps,405,3759,174,1000,789.39,-1232,20,-1.232
620,2020-10-14,ABC,Craps,Craps,404,1192,1496,2400,250.32,-9262,16,-3.859166666666667
621,2020-11-03,ABC,Craps,Craps,407,2413,885,2220,506.72999999999996,-1968,20,-0.8864864864864865
622,2020-11-14,ABC,Craps,Craps,405,2112,954,576,443.52,-14832,24,-25.75
623,2020-10-25,ABC,Craps,Craps,403,2691,1134,1620,565.11,14720,18,9.08641975308642
624,2020-10-17,ABC,Craps,Craps,406,2060,1088,2964,432.59999999999997,19488,19,6.574898785425101
625,2020-10-23,ABC,Craps,Craps,405,5339,1056,4275,1121.19,-13728,19,-3.2112280701754385
626,2020-10-01,ABC,Craps,Craps,110,900,1200,160,189.0,14580,2,91.125
627,2020-10-29,ABC,Craps,Craps,404,4878,62,68,1024.3799999999999,-114,2,-1.6764705882352942
628,2020-10-01,ABC,Craps,Craps,404,202,1344,2016,42.42,2856,18,1.4166666666666667
629,2020-11-21,ABC,Craps,Craps,407,2346,1102,3168,492.65999999999997,-6996,24,-2.2083333333333335
630,2020-11-19,ABC,Craps,Craps,405,370,1276,1176,77.7,16359,8,13.910714285714286
631,2020-10-05,ABC,Craps,Craps,405,680,522,1848,142.79999999999998,-20832,11,-11.272727272727273
632,2020-11-02,ABC,Craps,Craps,405,2322,1104,132,487.62,-148,6,-1.121212121212121
633,2020-11-11,ABC,Craps,Craps,402,1141,558,972,239.60999999999999,1953,6,2.009259259259259
634,2020-10-15,ABC,Craps,Craps,405,2080,153,1450,436.8,7845,10,5.410344827586207
635,2020-11-18,ABC,Craps,Craps,407,0,427,2193,2890.0,-3382,17,-1.5421796625626996
636,2020-10-16,ABC,Craps,Craps,402,2928,1426,2108,614.88,176,17,0.08349146110056926
637,2020-10-31,ABC,Craps,Craps,404,2520,1725,1960,529.1999999999999,-7128,20,-3.636734693877551
638,2020-11-16,ABC,Craps,Craps,402,3420,54,252,718.1999999999999,-10963,12,-43.50396825396825
639,2020-10-26,ABC,Craps,Craps,407,5610,232,928,1178.1,280,8,0.3017241379310345
640,2020-10-03,ABC,Craps,Craps,405,6785,1300,3196,1424.85,13736,17,4.297872340425532
641,2020-10-03,ABC,Craps,Craps,407,5175,1584,4160,1086.75,-14640,16,-3.519230769230769
642,2020-10-14,ABC,Craps,Craps,403,2544,966,1976,534.24,230,19,0.11639676113360324
643,2020-11-14,ABC,Craps,Craps,407,3146,1342,1100,660.66,11191,22,10.173636363636364
644,2020-10-02,ABC,Craps,Craps,402,4590,1704,3450,963.9,10538,23,3.0544927536231885
645,2020-10-02,ABC,Craps,Craps,404,5280,816,4255,1108.8,18520,23,4.352526439482961
646,2020-10-02,ABC,Craps,Craps,405,1952,1633,3565,409.91999999999996,-1344,23,-0.37699859747545583
647,2020-10-02,ABC,Craps,Craps,110,4086,1365,5160,858.06,18312,24,3.5488372093023255
648,2020-10-16,ABC,Craps,Craps,404,3325,1044,1302,698.25,-20832,21,-16.0
649,2020-11-03,ABC,Craps,Craps,404,2520,1386,120,529.1999999999999,3069,2,25.575
650,2020-11-05,ABC,Craps,Craps,406,3168,1050,770,665.28,10,11,0.012987012987012988
651,2020-10-26,ABC,Craps,Craps,406,4480,378,1332,940.8,490,9,0.36786786786786785
652,2020-11-07,ABC,Craps,Craps,403,2574,1155,2646,540.54,21216,18,8.01814058956916
653,2020-10-18,ABC,Craps,Craps,407,3280,1020,3105,688.8,18048,23,5.81256038647343
654,2020-10-29,ABC,Craps,Craps,407,1545,144,1386,324.45,828,21,0.5974025974025974
655,2020-10-12,ABC,Craps,Craps,404,2682,66,242,563.22,-8220,11,-33.96694214876033
656,2020-10-12,ABC,Craps,Craps,402,3587,672,1640,753.27,10960,8,6.682926829268292
657,2020-11-16,ABC,Craps,Craps,405,6233,357,2430,1308.93,1102,15,0.4534979423868313
658,2020-10-30,ABC,Craps,Craps,406,3160,1104,1840,663.6,11151,16,6.060326086956522
659,2020-11-21,ABC,Craps,Craps,402,4818,1083,3220,1011.78,16675,23,5.178571428571429
660,2020-10-22,ABC,Craps,Craps,406,340,260,196,71.39999999999999,3132,1,15.979591836734693
661,2020-11-13,ABC,Craps,Craps,404,4347,1420,3520,912.87,-11472,22,-3.2590909090909093
662,2020-10-09,ABC,Craps,Craps,405,3536,1302,1863,742.56,-5784,23,-3.104669887278583
663,2020-10-16,ABC,Craps,Craps,406,4488,936,2375,942.48,21312,19,8.973473684210527
664,2020-11-19,ABC,Craps,Craps,402,4470,940,3060,938.6999999999999,-2463,17,-0.8049019607843138
665,2020-10-08,ABC,Craps,Craps,407,848,63,1836,178.07999999999998,-1029,17,-0.5604575163398693
666,2020-10-01,ABC,Craps,Craps,402,380,605,2856,79.8,3332,21,1.1666666666666667
667,2020-11-17,ABC,Craps,Craps,402,1185,740,651,248.85,8310,21,12.764976958525345
668,2020-11-17,ABC,Craps,Craps,406,1184,235,588,248.64,-302,7,-0.5136054421768708
669,2020-10-24,ABC,Craps,Craps,406,4997,800,798,1049.37,17040,21,21.353383458646615
670,2020-11-02,ABC,Craps,Craps,404,3565,486,210,748.65,2450,1,11.666666666666666
671,2020-10-26,ABC,Craps,Craps,404,1450,330,155,304.5,4785,5,30.870967741935484
672,2020-11-11,ABC,Craps,Craps,407,3216,520,1564,675.36,16992,17,10.864450127877237
673,2020-11-13,ABC,Craps,Craps,407,4922,1035,5520,1033.62,-9595,24,-1.7382246376811594
674,2020-10-28,ABC,Craps,Craps,404,3124,294,550,656.04,-6940,5,-12.618181818181819
675,2020-10-09,ABC,Craps,Craps,406,2380,1512,2924,499.79999999999995,17340,17,5.930232558139535
676,2020-10-14,ABC,Craps,Craps,405,2528,1045,1700,530.88,-1334,17,-0.7847058823529411
677,2020-11-16,ABC,Craps,Craps,407,1350,1360,550,283.5,-1248,2,-2.269090909090909
678,2020-11-07,ABC,Craps,Craps,406,2698,1302,2320,566.5799999999999,-3140,16,-1.353448275862069
679,2020-11-19,ABC,Craps,Craps,406,0,1334,198,420.0,309,3,1.5606060606060606
680,2020-10-18,ABC,Craps,Craps,405,6762,1045,828,1420.02,432,23,0.5217391304347826
681,2020-11-15,ABC,Craps,Craps,405,5640,828,1800,1184.3999999999999,11613,24,6.451666666666667
682,2020-10-26,ABC,Craps,Craps,403,2354,658,504,494.34,-5888,12,-11.682539682539682
683,2020-11-03,ABC,Craps,Craps,402,5232,1027,1560,1098.72,1326,13,0.85
684,2020-11-02,ABC,Craps,Craps,407,0,90,170,101.0,9141,1,53.77058823529412
685,2020-10-20,ABC,Craps,Craps,407,0,630,714,2278.0,-616,17,-0.8627450980392157
686,2020-11-20,ABC,Craps,Craps,405,4094,1425,696,859.74,10128,24,14.551724137931034
687,2020-11-15,ABC,Craps,Craps,401,6552,1092,816,1375.9199999999998,-6600,17,-8.088235294117647
688,2020-11-02,ABC,Craps,Craps,403,1260,114,800,264.59999999999997,15019,20,18.77375
689,2020-10-21,ABC,Craps,Craps,407,114,46,950,23.939999999999998,2035,19,2.142105263157895
690,2020-10-27,ABC,Craps,Craps,407,615,1140,552,129.15,-10368,4,-18.782608695652176
691,2020-11-17,ABC,Craps,Craps,403,1870,900,795,392.7,-2750,5,-3.459119496855346
692,2020-10-19,ABC,Craps,Craps,402,6288,153,2400,1320.48,-9216,24,-3.84
693,2020-11-08,ABC,Craps,Craps,407,2232,1584,1054,468.71999999999997,14269,17,13.537950664136622
694,2020-10-11,ABC,Craps,Craps,406,4830,1176,2240,1014.3,-2108,16,-0.9410714285714286
695,2020-11-17,ABC,Craps,Craps,407,3144,792,80,660.24,48,1,0.6
696,2020-11-11,ABC,Craps,Craps,404,0,782,1020,2907.0,-2890,17,-2.8333333333333335
697,2020-11-21,ABC,Craps,Craps,403,4872,1633,1960,1023.12,13482,20,6.878571428571429
698,2020-11-20,ABC,Craps,Craps,406,5605,1190,2448,1177.05,484,17,0.1977124183006536
699,2020-10-18,ABC,Craps,Craps,404,4080,1152,1908,856.8,-7548,18,-3.9559748427672954
700,2020-11-13,ABC,Craps,Craps,402,2227,1020,3672,467.66999999999996,17112,18,4.660130718954249
701,2020-10-01,ABC,Craps,Craps,405,4302,1219,288,903.42,-1404,4,-4.875
702,2020-10-24,ABC,Craps,Craps,110,4660,1416,2964,978.5999999999999,11840,19,3.9946018893387314
703,2020-10-15,ABC,Craps,Craps,404,5058,1095,1980,1062.18,-1790,12,-0.9040404040404041
704,2020-11-17,ABC,Craps,Craps,404,4248,756,2650,892.0799999999999,5206,10,1.9645283018867925
705,2020-10-21,ABC,Craps,Craps,405,2278,728,3045,478.38,-3312,21,-1.0876847290640395
706,2020-10-10,ABC,Craps,Craps,405,2848,969,4416,598.0799999999999,9144,23,2.0706521739130435
707,2020-10-25,ABC,Craps,Craps,401,3152,1113,4680,661.92,13251,18,2.8314102564102566
708,2020-10-23,ABC,Craps,Craps,403,1952,1474,6095,409.91999999999996,-16074,23,-2.6372436423297785
709,2020-11-15,ABC,Craps,Craps,406,6888,1296,378,1446.48,5952,18,15.746031746031745
710,2020-10-06,ABC,Craps,Craps,404,216,708,900,45.36,-8778,18,-9.753333333333334
711,2020-10-07,ABC,Craps,Craps,403,1278,414,385,268.38,-10485,7,-27.233766233766232
712,2020-11-16,ABC,Craps,Craps,406,4768,558,3108,1001.28,-7228,21,-2.3256113256113258
713,2020-10-25,ABC,Craps,Craps,406,3003,1311,3040,630.63,15504,20,5.1
714,2020-10-10,ABC,Craps,Craps,404,2919,1040,3096,612.99,-782,24,-0.2525839793281654
715,2020-10-17,ABC,Craps,Craps,405,1921,960,984,403.40999999999997,3859,24,3.921747967479675
716,2020-11-20,ABC,Craps,Craps,401,2400,1040,1748,504.0,11780,19,6.739130434782608
717,2020-10-30,ABC,Craps,Craps,403,3624,1248,2480,761.04,-18700,16,-7.540322580645161
718,2020-10-17,ABC,Craps,Craps,401,2604,1273,2816,546.84,1672,16,0.59375
719,2020-10-18,ABC,Craps,Craps,402,3116,1344,3102,654.36,10350,22,3.3365570599613155
720,2020-11-16,ABC,Craps,Craps,404,4018,1134,2160,843.78,-345,15,-0.1597222222222222
721,2020-10-06,ABC,Craps,Craps,402,460,150,2052,96.6,3245,19,1.581384015594542
722,2020-11-04,ABC,Craps,Craps,402,2247,1728,1254,471.87,18696,19,14.909090909090908
723,2020-10-14,ABC,Craps,Craps,402,2592,1562,3520,544.3199999999999,548,16,0.15568181818181817
724,2020-10-04,ABC,Craps,Craps,404,4272,950,1060,897.12,-10142,20,-9.567924528301887
725,2020-10-02,ABC,Craps,Craps,403,3278,976,3255,688.38,-4320,21,-1.327188940092166
726,2020-10-15,ABC,Craps,Craps,403,167,330,3816,35.07,19976,18,5.234800838574423
727,2020-11-05,ABC,Craps,Craps,401,136,780,372,28.56,-3473,6,-9.336021505376344
728,2020-10-28,ABC,Craps,Craps,111,3564,486,2755,748.4399999999999,1212,19,0.4399274047186933
729,2020-11-14,ABC,Craps,Craps,401,5712,864,2109,1199.52,19344,19,9.172119487908962
730,2020-11-09,ABC,Craps,Craps,407,592,938,1980,124.32,5064,22,2.5575757575757576
731,2020-10-31,ABC,Craps,Craps,405,5491,1054,1045,1153.11,1802,19,1.7244019138755982
732,2020-10-30,ABC,Craps,Craps,405,5244,987,680,1101.24,651,20,0.9573529411764706
733,2020-10-31,ABC,Craps,Craps,406,2226,1120,4840,467.46,15568,22,3.216528925619835
734,2020-10-17,ABC,Craps,Craps,404,4344,1387,2016,912.24,9360,24,4.642857142857143
735,2020-11-20,ABC,Craps,Craps,402,3587,896,2295,753.27,273,17,0.11895424836601307
736,2020-10-15,ABC,Craps,Craps,406,1116,598,208,234.35999999999999,-3850,8,-18.509615384615383
737,2020-11-06,ABC,Craps,Craps,406,2457,1360,4440,515.97,6426,24,1.4472972972972973
738,2020-10-02,ABC,Craps,Craps,407,5620,1155,2760,1180.2,-11237,20,-4.071376811594203
739,2020-11-01,ABC,Craps,Craps,401,1717,1400,3570,360.57,-13832,17,-3.8745098039215686
740,2020-11-15,ABC,Craps,Craps,403,3660,1680,1840,768.6,-11271,16,-6.1255434782608695
741,2020-10-24,ABC,Craps,Craps,403,3213,1541,1944,674.73,-6624,18,-3.4074074074074074
742,2020-11-15,ABC,Craps,Craps,402,3128,1386,2688,656.88,-2430,21,-0.9040178571428571
743,2020-10-19,ABC,Craps,Craps,401,3600,854,480,756.0,-7371,8,-15.35625
744,2020-11-01,ABC,Craps,Craps,406,3336,1188,5390,700.56,13060,22,2.4230055658627085
745,2020-11-09,ABC,Craps,Craps,406,4284,603,810,899.64,-5400,9,-6.666666666666667
746,2020-11-04,ABC,Craps,Craps,405,2160,441,100,453.59999999999997,134,2,1.34
747,2020-11-14,ABC,Craps,Craps,406,4922,1340,4116,1033.62,-13112,21,-3.185617103984451
748,2020-10-31,ABC,Craps,Craps,407,6302,950,4840,1323.4199999999998,6560,22,1.3553719008264462
749,2020-10-24,ABC,Craps,Craps,407,2242,1210,2000,470.82,18543,16,9.2715
750,2020-11-19,ABC,Craps,Craps,403,3822,990,1050,802.62,-18854,10,-17.956190476190475
751,2020-10-31,ABC,Craps,Craps,403,2869,1426,882,602.49,247,21,0.2800453514739229
752,2020-11-08,ABC,Craps,Craps,403,2714,1240,2640,569.9399999999999,-10710,20,-4.056818181818182
753,2020-10-12,ABC,Craps,Craps,407,642,1232,176,134.82,140,2,0.7954545454545454
754,2020-11-09,ABC,Craps,Craps,401,1194,576,49,250.73999999999998,78,1,1.5918367346938775
755,2020-11-09,ABC,Craps,Craps,403,2630,315,912,552.3,-876,24,-0.9605263157894737
756,2020-10-11,ABC,Craps,Craps,403,4086,1265,3990,858.06,6024,19,1.5097744360902257
757,2020-10-16,ABC,Craps,Craps,403,6237,1628,4200,1309.77,-11664,24,-2.777142857142857
758,2020-11-05,ABC,Craps,Craps,402,945,1323,0,198.45,3248,0,inf
759,2020-11-13,ABC,Craps,Craps,406,5620,1197,2052,1180.2,-20088,18,-9.789473684210526
760,2020-11-05,ABC,Craps,Craps,405,4842,636,4180,1016.8199999999999,-16926,19,-4.049282296650718
761,2020-10-20,ABC,Craps,Craps,402,4165,560,1856,874.65,-7640,16,-4.116379310344827
762,2020-11-10,ABC,Craps,Craps,403,660,276,43,138.6,2088,1,48.55813953488372
763,2020-10-29,ABC,Craps,Craps,402,1770,732,1365,371.7,-10070,13,-7.377289377289378
764,2020-10-10,ABC,Craps,Craps,407,2016,1241,943,423.35999999999996,9867,23,10.463414634146341
765,2020-10-09,ABC,Craps,Craps,401,5796,1072,1700,1217.1599999999999,9513,17,5.595882352941176
766,2020-10-14,ABC,Craps,Craps,407,2895,360,1554,607.9499999999999,1862,21,1.1981981981981982
767,2020-10-18,ABC,Craps,Craps,406,3024,1349,2888,635.04,-15696,19,-5.434903047091413
768,2020-10-13,ABC,Craps,Craps,406,1074,232,336,225.54,652,12,1.9404761904761905
769,2020-10-16,ABC,Craps,Craps,407,6576,1062,2880,1380.96,5654,18,1.9631944444444445
770,2020-10-22,ABC,Craps,Craps,407,4242,472,570,890.8199999999999,5180,19,9.087719298245615
771,2020-10-30,ABC,Craps,Craps,401,3335,1003,3840,700.35,-8592,24,-2.2375
772,2020-11-02,ABC,Craps,Craps,402,1215,803,2860,255.14999999999998,-9144,13,-3.197202797202797
773,2020-11-01,ABC,Craps,Craps,407,5640,1541,4770,1184.3999999999999,12760,18,2.6750524109014675
774,2020-10-23,ABC,Craps,Craps,401,5664,1430,4485,1189.44,-7266,23,-1.620066889632107
775,2020-11-10,ABC,Craps,Craps,407,1488,561,294,312.47999999999996,-5700,6,-19.387755102040817
776,2020-10-15,ABC,Craps,Craps,407,2985,1080,1272,626.85,-12980,12,-10.20440251572327
777,2020-11-14,ABC,Craps,Craps,404,5271,1278,2244,1106.9099999999999,-15060,17,-6.711229946524064
778,2020-10-23,ABC,Craps,Craps,407,4902,855,1794,1029.42,7088,23,3.950947603121516
779,2020-11-01,ABC,Craps,Craps,402,4728,1242,1026,992.88,-7362,19,-7.175438596491228
780,2020-10-08,ABC,Craps,Craps,404,4268,1120,1728,896.28,-4668,12,-2.701388888888889
781,2020-11-05,ABC,Craps,Craps,403,2240,714,564,470.4,3896,4,6.907801418439717
782,2020-11-07,ABC,Craps,Craps,407,2508,1080,990,526.68,-984,22,-0.9939393939393939
783,2020-10-21,ABC,Craps,Craps,406,2460,1272,3780,516.6,4416,14,1.1682539682539683
784,2020-10-13,ABC,Craps,Craps,402,1953,378,0,410.13,-3895,0,-inf
785,2020-10-03,ABC,Craps,Craps,406,2260,918,1824,474.59999999999997,-19596,19,-10.743421052631579
786,2020-11-10,ABC,Craps,Craps,404,314,1495,2970,65.94,8120,18,2.734006734006734
787,2020-11-01,ABC,Big Six,Other,813,4770,1272,1760,810.9000000000001,-13838,20,-7.8625
788,2020-11-14,ABC,Big Six,Other,813,5397,1188,2376,917.49,17116,18,7.203703703703703
789,2020-10-03,ABC,Big Six,Other,813,2486,1340,646,422.62,-304,19,-0.47058823529411764
790,2020-10-10,ABC,Big Six,Other,813,4716,1357,1974,801.72,2375,21,1.2031408308004052
791,2020-10-16,ABC,Big Six,Other,813,5019,950,2520,853.23,8208,24,3.257142857142857
792,2020-11-08,ABC,Big Six,Other,813,4444,912,1680,755.48,-9522,16,-5.667857142857143
793,2020-10-18,ABC,Big Six,Other,813,2040,1254,1224,346.8,-4416,17,-3.607843137254902
794,2020-10-02,ABC,Big Six,Other,813,4780,1116,5200,812.6,-7684,20,-1.4776923076923076
795,2020-11-06,ABC,Big Six,Other,813,4880,1000,3108,829.6,-744,21,-0.23938223938223938
796,2020-10-25,ABC,Big Six,Other,813,3312,931,744,563.0400000000001,-8580,24,-11.53225806451613
797,2020-10-29,ABC,Roulette,Roulette,209,1096,272,3710,274.0,3936,14,1.0609164420485175
798,2020-10-15,ABC,Roulette,Roulette,313,3570,112,4505,892.5,3912,17,0.8683684794672586
799,2020-11-07,ABC,Roulette,Roulette,313,3192,1248,3960,798.0,-12060,24,-3.0454545454545454
800,2020-11-03,ABC,Roulette,Roulette,301,2580,658,4485,645.0,5646,23,1.2588628762541807
801,2020-10-24,ABC,Roulette,Roulette,812,4600,782,1364,1150.0,10298,22,7.5498533724340176
802,2020-11-08,ABC,Roulette,Roulette,209,2295,1296,884,573.75,-4573,17,-5.173076923076923
803,2020-10-16,ABC,Roulette,Roulette,301,4097,1474,1080,1024.25,1452,24,1.3444444444444446
804,2020-10-28,ABC,Roulette,Roulette,209,3120,1296,880,780.0,-1225,8,-1.3920454545454546
805,2020-11-19,ABC,Roulette,Roulette,313,3552,1260,364,888.0,-352,14,-0.967032967032967
806,2020-11-03,ABC,Roulette,Roulette,209,0,480,1568,688.0,-7884,8,-5.028061224489796
807,2020-11-08,ABC,Roulette,Roulette,812,5112,1344,828,1278.0,-19032,18,-22.985507246376812
808,2020-10-26,ABC,Roulette,Roulette,301,1989,819,3230,497.25,12375,17,3.831269349845201
809,2020-11-21,ABC,Roulette,Roulette,313,3859,1260,460,964.75,11340,20,24.652173913043477
810,2020-10-02,ABC,Roulette,Roulette,655,4000,1035,3672,1000.0,-18656,17,-5.080610021786493
811,2020-10-02,ABC,Roulette,Roulette,205,4777,1254,2210,1194.25,6516,17,2.9484162895927604
812,2020-10-19,ABC,Roulette,Roulette,209,239,855,1512,59.75,-7360,18,-4.867724867724868
813,2020-11-20,ABC,Roulette,Roulette,655,3654,1128,5184,913.5,608,24,0.11728395061728394
814,2020-10-31,ABC,Roulette,Roulette,851,4060,736,1440,1015.0,2214,24,1.5375
815,2020-10-04,ABC,Roulette,Roulette,313,4320,1176,693,1080.0,15660,21,22.5974025974026
816,2020-10-25,ABC,Roulette,Roulette,812,2369,1242,4620,592.25,-21600,21,-4.675324675324675
817,2020-10-06,ABC,Roulette,Roulette,655,5256,1298,444,1314.0,-6678,3,-15.04054054054054
818,2020-11-01,ABC,Roulette,Roulette,851,3680,1260,680,920.0,-14722,20,-21.65
819,2020-10-19,ABC,Roulette,Roulette,313,522,672,848,130.5,9612,16,11.334905660377359
820,2020-11-19,ABC,Roulette,Roulette,205,5681,693,1170,1420.25,-1508,13,-1.288888888888889
821,2020-11-06,ABC,Roulette,Roulette,209,4632,896,1155,1158.0,17250,21,14.935064935064934
822,2020-11-12,ABC,Roulette,Roulette,205,2968,340,1575,742.0,-1748,9,-1.1098412698412699
823,2020-11-19,ABC,Roulette,Roulette,655,984,268,104,246.0,308,4,2.9615384615384617
824,2020-10-29,ABC,Roulette,Roulette,301,3192,1357,756,798.0,-3960,6,-5.238095238095238
825,2020-10-10,ABC,Roulette,Roulette,851,1919,884,748,479.75,-5586,17,-7.467914438502674
826,2020-11-19,ABC,Roulette,Roulette,209,1624,864,3570,406.0,16405,21,4.595238095238095
827,2020-10-01,ABC,Roulette,Roulette,655,1992,55,405,498.0,897,3,2.214814814814815
828,2020-11-17,ABC,Roulette,Roulette,313,572,1610,984,143.0,-13920,6,-14.146341463414634
829,2020-10-17,ABC,Roulette,Roulette,209,4454,1056,656,1113.5,-7380,16,-11.25
